sku,name,price,description,stock,image_path
PROD000001,"Essential Gadget C",755.41,"Reliable gadget with advanced features",790,sample-images/product-173.jpg
PROD000002,"Elite System Plus",22.42,"Compact and efficient system solution",380,sample-images/product-078.jpg
PROD000003,"Deluxe Widget X",71.50,"Compact and efficient widget solution",605,sample-images/product-009.jpg
PROD000004,"Essential Tool A",677.03,"Versatile tool suitable for multiple applications",665,sample-images/product-086.jpg
PROD000005,"Pro Component X",311.00,"Cost-effective component without compromising quality",962,sample-images/product-109.jpg
PROD000006,"Deluxe Module Max",935.56,"Innovative module with cutting-edge technology",931,sample-images/product-139.jpg
PROD000007,"Elite Device X",397.09,"Durable device designed for longevity",647,sample-images/product-179.jpg
PROD000008,"Elite Kit Plus",518.64,"Cost-effective kit without compromising quality",102,sample-images/product-063.jpg
PROD000009,"Elite Widget Y",28.72,"Innovative widget with cutting-edge technology",527,sample-images/product-084.jpg
PROD000010,"Standard Gadget Plus",667.58,"Durable gadget designed for longevity",749,sample-images/product-192.jpg
PROD000011,"Elite Accessory Lite",558.76,"Cost-effective accessory without compromising quality",777,sample-images/product-100.jpg
PROD000012,"Ultimate Accessory Plus",226.46,"Compact and efficient accessory solution",745,sample-images/product-131.jpg
PROD000013,"Essential Widget C",112.65,"Versatile widget suitable for multiple applications",480,sample-images/product-197.jpg
PROD000014,"Deluxe Tool Y",411.40,"Durable tool designed for longevity",716,sample-images/product-075.jpg
PROD000015,"Pro Device Mini",802.87,"Innovative device with cutting-edge technology",620,sample-images/product-034.jpg
PROD000016,"Advanced Module Max",505.59,"Versatile module suitable for multiple applications",106,sample-images/product-162.jpg
PROD000017,"Professional Accessory X",447.21,"Compact and efficient accessory solution",557,sample-images/product-097.jpg
PROD000018,"Basic Device Max",999.75,"Versatile device suitable for multiple applications",103,sample-images/product-004.jpg
PROD000019,"Deluxe Component B",583.40,"Innovative component with cutting-edge technology",742,sample-images/product-023.jpg
PROD000020,"Standard Kit Max",765.04,"Durable kit designed for longevity",70,sample-images/product-179.jpg
PROD000021,"Elite Kit C",332.64,"Versatile kit suitable for multiple applications",489,sample-images/product-045.jpg
PROD000022,"Pro Component Mini",429.58,"Perfect component for everyday tasks",225,sample-images/product-047.jpg
PROD000023,"Basic Accessory C",469.94,"Industry-standard accessory with premium build",528,sample-images/product-048.jpg
PROD000024,"Professional Kit Plus",210.65,"Versatile kit suitable for multiple applications",352,sample-images/product-170.jpg
PROD000025,"Elite Gadget Y",616.34,"Durable gadget designed for longevity",706,sample-images/product-180.jpg
PROD000026,"Advanced Accessory C",488.86,"State-of-the-art accessory with modern design",107,sample-images/product-077.jpg
PROD000027,"Elite Module A",550.40,"Industry-standard module with premium build",56,sample-images/product-038.jpg
PROD000028,"Advanced Widget Y",127.53,"Innovative widget with cutting-edge technology",223,sample-images/product-081.jpg
PROD000029,"Basic Kit X",159.92,"Compact and efficient kit solution",283,sample-images/product-109.jpg
PROD000030,"Professional Unit Plus",587.46,"Industry-standard unit with premium build",383,sample-images/product-043.jpg
PROD000031,"Standard Tool Lite",34.85,"High quality tool for professional use",130,sample-images/product-021.jpg
PROD000032,"Deluxe Unit Mini",947.90,"Compact and efficient unit solution",482,sample-images/product-182.jpg
PROD000033,"Essential Module B",103.07,"Cost-effective module without compromising quality",330,sample-images/product-087.jpg
PROD000034,"Essential Component C",869.51,"Cost-effective component without compromising quality",817,sample-images/product-064.jpg
PROD000035,"Pro Widget X",722.58,"Cost-effective widget without compromising quality",16,sample-images/product-019.jpg
PROD000036,"Essential Gadget B",245.29,"High quality gadget for professional use",364,sample-images/product-024.jpg
PROD000037,"Basic Device B",176.29,"Durable device designed for longevity",267,sample-images/product-134.jpg
PROD000038,"Essential Tool C",739.67,"Compact and efficient tool solution",776,sample-images/product-178.jpg
PROD000039,"Ultimate System Plus",506.51,"Innovative system with cutting-edge technology",138,sample-images/product-050.jpg
PROD000040,"Advanced Module A",743.89,"Industry-standard module with premium build",177,sample-images/product-156.jpg
PROD000041,"Deluxe Kit Y",772.61,"High quality kit for professional use",395,sample-images/product-049.jpg
PROD000042,"Professional Component B",983.72,"Reliable component with advanced features",768,sample-images/product-005.jpg
PROD000043,"Standard Gadget Z",153.99,"Cost-effective gadget without compromising quality",493,sample-images/product-030.jpg
PROD000044,"Elite System Mini",828.53,"Perfect system for everyday tasks",116,sample-images/product-066.jpg
PROD000045,"Deluxe Gadget X",468.54,"Versatile gadget suitable for multiple applications",358,sample-images/product-161.jpg
PROD000046,"Pro Widget X",975.47,"Compact and efficient widget solution",654,sample-images/product-004.jpg
PROD000047,"Basic Device C",627.96,"Innovative device with cutting-edge technology",42,sample-images/product-081.jpg
PROD000048,"Professional Component C",386.55,"Compact and efficient component solution",962,sample-images/product-114.jpg
PROD000049,"Elite Gadget Y",981.40,"Innovative gadget with cutting-edge technology",707,sample-images/product-066.jpg
PROD000050,"Essential System B",965.14,"Cost-effective system without compromising quality",498,sample-images/product-064.jpg
PROD000051,"Ultimate Gadget Max",669.51,"Versatile gadget suitable for multiple applications",452,sample-images/product-109.jpg
PROD000052,"Pro Component C",835.17,"State-of-the-art component with modern design",6,sample-images/product-082.jpg
PROD000053,"Pro Device Max",999.42,"Perfect device for everyday tasks",55,sample-images/product-194.jpg
PROD000054,"Professional Gadget Y",111.27,"Industry-standard gadget with premium build",937,sample-images/product-012.jpg
PROD000055,"Ultimate Accessory Max",463.45,"Cost-effective accessory without compromising quality",320,sample-images/product-099.jpg
PROD000056,"Pro Component B",642.62,"Industry-standard component with premium build",345,sample-images/product-046.jpg
PROD000057,"Ultimate Widget Max",798.99,"Reliable widget with advanced features",585,sample-images/product-055.jpg
PROD000058,"Standard Module Mini",290.66,"Reliable module with advanced features",352,sample-images/product-091.jpg
